Source,Target
Process,Extra Window Memory Injection
Windows Registry,Scheduled Task
Process,Socket Filters
,Indicator Removal from Tools
Process,Archive via Utility
Process,VNC
Network Traffic,Windows Management Instrumentation
,Malicious Shell Modification
Command,Screen Capture
Windows Registry,Fileless Storage
,Bootkit
File,Boot or Logon Initialization Scripts
Application Log,Adversary-in-the-Middle
Active Directory,System Owner/User Discovery
Internet Scan,Acquire Infrastructure
Process,Rundll32
Pod,Container and Resource Discovery
Internet Scan,Serverless
,Hidden Window
,LC_LOAD_DYLIB Addition
Network Traffic,Standard Encoding
File,Embedded Payloads
,Plist Modification
File,Pluggable Authentication Modules
Instance,Revert Cloud Instance
,HISTCONTROL
Internet Scan,Gather Victim Host Information
,Digital Certificates
Driver,Keylogging
File,File/Path Exclusions
Process,Linux and Mac File and Directory Permissions Modification
User Account,Password Guessing
Process,PubPrn
,Purchase Technical Data
Network Traffic,OS Credential Dumping
Process,Shared Modules
Network Traffic,Data from Configuration Repository
Driver,Disk Structure Wipe
Network Traffic,Direct Network Flood
,Stored Data Manipulation
File,Path Interception by PATH Environment Variable
Logon Session,Sharepoint
File,Direct Volume Access
,File System Permissions Weakness
,Artificial Intelligence
Cloud Service,Modify Cloud Resource Hierarchy
Command,Email Hiding Rules
Application Log,External Defacement
File,Encrypted/Encoded File
,LLMNR/NBT-NS Poisoning and Relay
,IP Addresses
Network Traffic,OS Exhaustion Flood
Drive,Rootkit
File,PowerShell Profile
Module,JavaScript
,DNS
,Systemd Service
Cloud Storage,Lifecycle-Triggered Deletion
,Elevated Execution with Prompt
Process,Audio Capture
Service,Create or Modify System Process
Network Traffic,External Remote Services
,Component Firmware
Command,LC_LOAD_DYLIB Addition
Process,Steal Web Session Cookie
File,Container Orchestration Job
Network Traffic,Domain Generation Algorithms
File,Double File Extension
Windows Registry,Bypass User Account Control
,Timestomp
Application Log,SMS Pumping
Process,Internet Connection Discovery
File,Sudo and Sudo Caching
File,Archive via Custom Method
Instance,Modify Cloud Compute Infrastructure
Internet Scan,Network Devices
Internet Scan,Malvertising
Process,Permission Groups Discovery
Logon Session,Email Collection
Command,Security Account Manager
,WHOIS
Firmware,System Firmware
Application Log,Search Victim-Owned Websites
Command,Cloud Groups
Windows Registry,Services Registry Permissions Weakness
,DNS/Passive DNS
Network Traffic,Application Exhaustion Flood
,Rc.common
File,Compromise Software Dependencies and Development Tools
Certificate,Digital Certificates
,DNS Server
Driver,Disk Wipe
Network Traffic,DNS
User Account,Cloud Instance Metadata API
Command,Securityd Memory
Script,Group Policy Discovery
File,Bootkit
Command,Data from Removable Media
,Code Signing
Command,Mavinject
,Cloud Instance Metadata API
,Process Hollowing
File,Local Data Staging
File,Match Legitimate Resource Name or Location
,Domain Fronting
Internet Scan,Digital Certificates
File,Stored Data Manipulation
User Account,Password Cracking
,SID-History Injection
File,Local Email Collection
Command,Keychain
Process,Boot or Logon Autostart Execution
Windows Registry,LSA Secrets
,Port Monitors
File,Weaken Encryption
Web Credential,SAML Tokens
,Spearphishing Link
File,Masquerade File Type
Process,Service Stop
Malware Repository,Malware
,Regsvcs/Regasm
Command,Device Driver Discovery
,Sudo Caching
Process,Domain Account
Command,Active Setup
File,Hide Artifacts
Process,Dynamic Data Exchange
Process,Malicious File
,Identify Business Tempo
,Security Software Discovery
Network Traffic,Publish/Subscribe Protocols
Internet Scan,Hardware
Network Share,Taint Shared Content
Command,Trust Modification
Network Traffic,Symmetric Cryptography
Process,Local Account
,Securityd Memory
Persona,Social Media Accounts
Windows Registry,Browser Extensions
,Application Access Token
Windows Registry,Safe Mode Boot
,Screensaver
Command,TFTP Boot
Windows Registry,Windows Service
Network Traffic,Fast Flux DNS
Process,System Checks
File,Cron
Group,Domain Groups
,Vulnerabilities
Network Traffic,Spearphishing Link
,Startup Items
File,Clear Linux or Mac System Logs
Application Log,Application or System Exploitation
File,Office Application Startup
Process,InstallUtil
Application Log,Spearphishing Link
Logon Session,SSH
User Account,Additional Cloud Roles
Windows Registry,Print Processors
,Disabling Security Tools
,Disk Structure Wipe
Network Traffic,Spearphishing Attachment
,Credentials in Registry
File,Stripped Payloads
Module,Component Object Model
File,DLL
User Account,Automated Collection
Process,Clipboard Data
Command,Proc Filesystem
,Botnet
Process,Password Managers
,AppInit DLLs
Process,Gatekeeper Bypass
Application Log,ESXi Administration Command
Internet Scan,Drive-by Target
Command,System Service Discovery
Command,Network Sniffing
,Application Deployment Software
File,Code Signing
Cloud Service,Data from Cloud Storage
File,Runtime Data Manipulation
Process,Credentials in Registry
Process,Network Share Discovery
Process,Peripheral Device Discovery
Process,Break Process Trees
,Network Topology
Malware Repository,Code Signing Certificates
Command,Windows File and Directory Permissions Modification
Windows Registry,Add-ins
File,Transport Agent
Process,System Information Discovery
Network Traffic,Application Layer Protocol
Module,AppDomainManager
File,Remote Data Staging
User Account,Additional Container Cluster Roles
Scheduled Job,Scheduled Task/Job
Module,Msiexec
,Login Item
,Network Trust Dependencies
Sensor Health,Reflection Amplification
Windows Registry,Password Filter DLL
Module,Terminal Services DLL
Command,AppleScript
Process,Software Extensions
Application Log,Service Exhaustion Flood
Sensor Health,Compromise Hardware Supply Chain
Process,Native API
File,Ccache Files
Process,Clear Network Connection History and Configurations
Active Directory,AS-REP Roasting
,Service Registry Permissions Weakness
Internet Scan,Virtual Private Server
Process,AutoHotKey & AutoIT
File,Reduce Key Space
Process,Clear Command History
Command,Indirect Command Execution
,Custom Cryptographic Protocol
,Revert Cloud Instance
File,Replication Through Removable Media
Process,Data from Local System
Process,Deobfuscate/Decode Files or Information
Process,Outlook Rules
File,Impair Defenses
,Cloud Accounts
,Email Accounts
User Account,Additional Local or Domain Groups
Internet Scan,Upload Malware
Sensor Health,Supply Chain Compromise
Network Traffic,Exploit Public-Facing Application
Command,Steal or Forge Kerberos Tickets
File,Credentials from Password Stores
Network Traffic,Exfiltration Over Web Service
Process,Remote Access Tools
Domain Name,Domains
Script,Archive via Library
Process,Thread Execution Hijacking
,Multilayer Encryption
File,Masquerading
File,Application Shimming
Windows Registry,Unsecured Credentials
Windows Registry,Port Monitors
Application Log,Clear Mailbox Data
File,Login Hook
Network Traffic,Content Injection
Process,Process Injection
Application Log,Exfiltration Over Webhook
,Bash History
Network Traffic,Traffic Signaling
Logon Session,Direct Cloud VM Connections
